Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Bonzi Wells,,6.0,5.9,4.0,3.4,3.1,3.1,3.0,0.9,0.1,-0.1,,
D.J. Augustin,90.1,6.2,6.2,5.1,3.4,2.8,2.8,2.6,0.5,,,,
Foots Walker,87.9,6.1,5.2,4.2,3.4,3.4,3.0,2.3,1.5,1.5,0.3,,
Lester Conner,87.5,6.2,5.9,3.7,2.8,2.7,2.7,2.1,0.8,0.7,0.5,0.3,0.0
Bill Keller,86.6,6.1,5.4,4.4,4.1,4.0,3.6,2.7,,,,,
Jim Cleamons,86.2,7.1,5.5,3.8,3.4,2.7,2.6,2.3,1.7,0.1,,,
Odie Spears,86.0,5.6,5.2,4.7,3.8,3.3,3.1,2.0,,,,,
Brandon Jennings,85.8,5.8,5.5,4.2,3.9,3.9,3.3,1.5,,,,,
Voshon Lenard,85.0,7.1,6.8,4.0,3.5,3.0,2.4,1.7,0.9,0.3,0.1,-0.1,
Ricky Davis,84.8,5.7,5.0,4.4,4.2,3.0,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Charlie Ward,84.8,7.1,5.5,3.9,3.7,3.6,3.1,2.9,1.9,1.0,0.5,-0.2,
